"longitude","latitude"
195.684,78.0931
195.7636,77.8714
195.8404,77.6497
195.9144,77.4281
195.9858,77.2066
196.0548,76.9851
196.1215,76.7637
196.1859,76.5424
196.2483,76.3212
196.3086,76.1001
196.3671,75.8791
196.4237,75.6581
196.4785,75.4373
196.5318,75.2165
196.5834,74.9959
196.6335,74.7753
196.6822,74.5549
196.7295,74.3345
196.7755,74.1143
196.8202,73.8941
196.8636,73.6741
196.9059,73.4542
196.9471,73.2344
196.9872,73.0147
197.0263,72.7952
197.0643,72.5757
197.1014,72.3564
197.1376,72.1372
197.1729,71.9181
197.2073,71.6992
197.2409,71.4804
197.2737,71.2617
197.3057,71.0431
197.337,70.8247
197.3676,70.6064
197.3974,70.3882
197.4266,70.1702
197.4552,69.9524
197.776,67.1334
197.7974,66.9177
197.8184,66.7021
197.8389,66.4867
197.8591,66.2714
197.8789,66.0563
198.0079,64.5555
198.0251,64.3418
198.0419,64.1282
198.0585,63.9149
198.0748,63.7017
198.0909,63.4887
198.3978,58.6435
198.4089,58.4353
198.4198,58.2272
22.4895,64.5471
22.5114,64.7609
22.5336,64.9749
22.5561,65.189
22.5791,65.4034
22.6026,65.6179
22.6264,65.8325
23.6215,72.3439
23.6678,72.5631
23.7153,72.7823
23.764,73.0017
23.8141,73.2212
23.8655,73.4408
23.9182,73.6606
23.9725,73.8804
24.0283,74.1003
24.0856,74.3204
24.1446,74.5405
24.2054,74.7607
24.2679,74.9811
24.3323,75.2015
24.3987,75.422
24.4672,75.6426
24.5378,75.8633
24.6106,76.0841
24.6859,76.3049
24.7636,76.5259
24.844,76.7469
24.9271,76.9679
25.0131,77.1891
25.1022,77.4103
25.1944,77.6316
25.2901,77.8529
25.3893,78.0743
25.4923,78.2958
25.5993,78.5173
25.7106,78.7388
25.8263,78.9604
25.9469,79.182
26.0725,79.4036
26.2034,79.6253
26.4831,80.0687
26.6325,80.2905
26.789,80.5122
26.953,80.7339
27.125,80.9556
27.3058,81.1773
27.4958,81.399
27.696,81.6206
27.9072,81.8422
28.1301,82.0638
28.3659,82.2852
28.6156,82.5066
28.8806,82.7279
29.1623,82.9491
29.4623,83.1702
29.7824,83.3911
30.1247,83.6118
30.4915,83.8323
30.8855,84.0527
31.3099,84.2727
31.7683,84.4925
32.2648,84.7119
32.8043,84.9309
187.1957,84.9309
187.7352,84.7119
188.2317,84.4925
188.6901,84.2727
189.1145,84.0527
189.5085,83.8323
189.8753,83.6118
190.2176,83.3911
190.5377,83.1702
190.8376,82.9491
191.1193,82.7279
191.3844,82.5066
191.6341,82.2852
191.8699,82.0638
192.0928,81.8422
192.304,81.6206
192.5041,81.399
192.6942,81.1773
192.875,80.9556
193.047,80.7339
193.211,80.5122
193.3675,80.2905
193.5169,80.0687
193.6598,79.847
193.7965,79.6253
193.9276,79.4036
194.0531,79.182
194.1737,78.9604
194.2894,78.7388
194.4007,78.5173
194.5077,78.2958
194.6107,78.0743
194.7099,77.8529
194.8056,77.6316
194.8978,77.4103
194.9869,77.1891
195.0729,76.9679
195.156,76.7469
195.2363,76.5259
195.3141,76.3049
195.3893,76.0841
195.4622,75.8633
195.5328,75.6426
195.6013,75.422
195.6677,75.2015
195.7321,74.9811
195.7946,74.7607
195.8554,74.5405
195.9144,74.3204
195.9717,74.1003
196.0275,73.8804
196.0818,73.6606
196.1346,73.4408
196.1859,73.2212
196.236,73.0017
196.2847,72.7823
196.3322,72.5631
196.3785,72.3439
196.4237,72.1249
196.4677,71.906
196.5107,71.6872
196.5526,71.4685
196.5936,71.25
196.6335,71.0315
196.6726,70.8133
196.7108,70.5951
196.7481,70.3771
196.7845,70.1592
196.8202,69.9415
196.8551,69.7239
196.8892,69.5064
196.9225,69.2891
197.2208,67.124
197.2475,66.9084
197.2737,66.6929
197.2994,66.4775
197.3246,66.2624
197.3493,66.0474
197.5319,64.3335
197.553,64.12
197.5737,63.9067
197.594,63.6936
197.614,63.4807
197.9399,59.4717
197.9546,59.2627
197.9691,59.0539
197.9834,58.8453
197.9975,58.6369
198.0114,58.4288
198.0251,58.2208
22.9866,64.5369
23.0128,64.7506
23.0394,64.9645
23.0665,65.1785
23.0941,65.3927
23.1221,65.6071
23.9452,70.5813
24.0377,71.0174
24.2891,72.1098
24.3432,72.3287
24.3987,72.5476
24.4556,72.7667
24.514,72.9859
24.5739,73.2051
24.6355,73.4245
24.6987,73.644
24.7636,73.8636
24.8304,74.0833
24.8991,74.3031
24.9697,74.523
25.0424,74.7429
25.1173,74.963
25.1944,75.1831
25.2739,75.4034
25.3558,75.6237
25.4403,75.844
25.5275,76.0645
25.6176,76.285
25.7106,76.5056
25.8067,76.7263
25.9061,76.947
26.009,77.1678
26.1155,77.3886
26.2258,77.6095
26.3402,77.8304
26.4588,78.0514
26.5819,78.2724
26.7098,78.4934
26.8428,78.7145
26.9811,78.9355
27.125,79.1566
27.275,79.3777
27.4314,79.5989
27.5946,79.82
27.7652,80.0411
27.9435,80.2621
28.1301,80.4832
28.3256,80.7042
28.5308,80.9252
28.7462,81.1461
28.9726,81.367
29.211,81.5878
29.4623,81.8084
29.7276,82.029
30.008,82.2495
30.3048,82.4698
30.6196,82.69
30.9541,82.91
31.3099,83.1298
31.6894,83.3493
32.0948,83.5686
32.5288,83.7876
32.9946,84.0062
33.4957,84.2245
34.0362,84.4424
34.6209,84.6597
35.2551,84.8765
184.7449,84.8765
185.3791,84.6597
185.9638,84.4424
186.5043,84.2245
187.0054,84.0062
187.4712,83.7876
187.9052,83.5686
188.3106,83.3493
188.6901,83.1298
189.0459,82.91
189.3803,82.69
189.6952,82.4698
189.992,82.2495
190.2724,82.029
190.5377,81.8084
190.789,81.5878
191.0274,81.367
191.2538,81.1461
191.4692,80.9252
191.6743,80.7042
191.8699,80.4832
192.0565,80.2621
192.2348,80.0411
192.4054,79.82
192.5686,79.5989
192.725,79.3777
192.875,79.1566
193.0189,78.9355
193.1572,78.7145
193.2902,78.4934
193.4181,78.2724
193.5412,78.0514
193.6598,77.8304
193.7742,77.6095
193.8845,77.3886
193.991,77.1678
194.0939,76.947
194.1933,76.7263
194.2894,76.5056
194.3824,76.285
194.4725,76.0645
194.5597,75.844
194.6442,75.6237
194.7261,75.4034
194.8056,75.1831
194.8827,74.963
194.9575,74.7429
195.0303,74.523
195.1009,74.3031
195.1696,74.0833
195.2363,73.8636
195.3013,73.644
195.3645,73.4245
195.4261,73.2051
195.486,72.9859
195.5444,72.7667
195.6013,72.5476
195.6568,72.3287
195.7109,72.1098
195.7636,71.8911
195.8151,71.6725
195.8653,71.454
195.9144,71.2357
195.9623,71.0174
196.0091,70.7993
196.0548,70.5813
196.0995,70.3635
196.1432,70.1458
196.1859,69.9282
196.2277,69.7107
196.2686,69.4934
196.3086,69.2762
196.3478,69.0592
196.6662,67.1125
196.6981,66.897
196.7295,66.6816
196.7603,66.4664
196.7905,66.2513
196.8202,66.0364
197.0391,64.3233
197.0643,64.11
197.0892,63.8968
197.1136,63.6838
197.1376,63.471
197.1612,63.2584
197.4923,59.8819
197.5105,59.6726
197.5283,59.4634
197.546,59.2545
197.5634,59.0458
197.5805,58.8372
197.5974,58.6289
197.614,58.4208
197.6305,58.2129
23.5137,64.7384
23.5448,64.9522
23.5763,65.1661
23.6085,65.3802
23.6412,65.5945
23.6745,65.8089
24.6001,70.5651
24.6533,70.7828
24.8793,71.6552
24.9392,71.8736
25.0006,72.0921
25.0636,72.3107
25.1282,72.5294
25.1944,72.7482
25.2624,72.9671
25.3321,73.1861
25.4038,73.4053
25.4774,73.6245
25.553,73.8438
25.6307,74.0632
25.7106,74.2827
25.7928,74.5023
25.8774,74.7219
25.9645,74.9417
26.0542,75.1615
26.1466,75.3813
26.2419,75.6013
26.3402,75.8213
26.4416,76.0414
26.5463,76.2615
26.6544,76.4817
26.7662,76.702
26.8817,76.9223
27.0013,77.1426
27.125,77.363
27.2532,77.5834
27.386,77.8038
27.5238,78.0243
27.6668,78.2448
27.8153,78.4653
27.9696,78.6858
28.1301,78.9062
28.2971,79.1267
28.4711,79.3472
28.6525,79.5677
28.8418,79.7881
29.0395,80.0085
29.2461,80.2288
29.4623,80.449
29.6888,80.6692
29.9262,80.8894
30.1755,81.1094
30.4375,81.3293
30.7131,81.5491
31.0035,81.7687
31.3099,81.9882
31.6336,82.2075
31.9761,82.4266
32.3391,82.6454
32.7243,82.864
33.134,83.0823
33.5704,83.3003
34.0362,83.5179
34.5345,83.7351
35.0685,83.9519
35.6422,84.1681
36.2602,84.3837
